"var","est"
"1|2",1.04123113510722
"2|3",2.93308941199625
"a_age",-0.719084373038401
"agesq",0.305490192786233
"asian",-0.0882820345481361
"hispanic",-0.0539515545665947
"lths",-0.0429817691815483
"somecol",0.121219888755808
"ba",0.155128135123931
"maplus",0.140338756268246
"lnearn",-0.127575609313598
"hiemp",-0.0579634124853892
"ind_4",-0.156693273744542
"ind_5",-0.118399404363505
"ind_6",-0.070711880916527
"ind_8",-0.0654482926228658
"ind_13",-0.0517984005372499
"occ_1",-0.025617194441588
"occ_6",0.00854039516521785
"occ_7",0.0588017714875006
"occ_9",0.0231038845641648
"occ_10",0.0419258895312433
