id,length_bond,length_matdis,length_illparent,length_illchild,length_illspouse,length_own,unaffordable,prop_pay,take_bond,take_matdis,take_illparent,take_illchild,take_illspouse,take_own,emp_size,paid_hrly,nochildren,lnfaminc,faminc,lnearn,fem_cu6,fem_c617,fem_cu6and617,fem_nochild,age,a_age,widowed,divorced,hiemp,separated,nevermarried,male,female,agesq,ltHS,someCol,BA,GradSch,black,white,asian,other,hisp,OCC,occ_1,occ_2,occ_3,occ_4,occ_5,occ_6,occ_7,occ_8,occ_9,occ_10,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,ind_10,ind_11,ind_12,ind_13,weeks_worked,WAGP,WKHP,PWGTP,FER,WKW,COW,ESR,partner,ndep_kid,ndep_old,empgov_fed,empgov_st,wkhours,empgov_loc,weeks_worked_cat,pay_schedule,total_length,total_leaves,exhausted_by,eligworker,benefit_prop,particip,orig_len_own,orig_len_illspouse,orig_len_illchild,orig_len_illparent,orig_len_matdis,orig_len_bond,longer_leave,extend_flag,fmla_constrain_flag,particip_length,plen_own,plen_illspouse,plen_illchild,plen_illparent,plen_matdis,plen_bond,DI_plen,PFL_plen,base_benefits,base_leave_pay,actual_leave_pay,actual_benefits,bene_effect_flg,topoff_flg,reduce,bene_own,bene_illspouse,bene_illchild,bene_illparent,bene_matdis,bene_bond
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,10.84990799,51529.40973,9.364522723,0,0,0,1,21,21,0,0,0,0,1,0,1,441,1,0,0,0,0,0,0,1,0,4060,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,12000,24,34,2,1,1,1,0,0,0,0,0,24,0,51,no pay,0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,270,1,0,0,0,0,0,0,1,23,1,1,10.84990799,51529.40973,9.712829417,0,0,0,1,54,54,0,0,0,0,1,0,1,2916,1,0,0,0,0,0,0,1,0,7800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,17000,35,30,NA,1,1,1,0,0,0,0,0,35,0,51,no pay,270,1,NA,1,0.55,1,270,0,0,0,0,0,0,0,0,260,260,0,0,0,0,0,260,0,9350,0,0,9350,0,0,1,9350,0,0,0,0,0
298,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8926,0,1,10.58535264,39551.2526,7.467402738,NA,NA,NA,NA,27,27,0,0,1,0,1,1,0,729,0,0,1,0,0,1,0,0,0,1920,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1800,40,12,NA,6,1,1,0,0,0,0,0,40,0,7.5,"all pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,10.58535264,39551.2526,9.44456543,NA,NA,NA,NA,56,56,0,0,0,0,0,1,0,3136,0,0,0,1,0,1,0,0,0,5240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,13000,40,12,NA,6,1,1,0,0,0,0,0,40,0,7.5,"all pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,135,0,0,0,0,0,0,0,1,75,0,1,10.58535264,39551.2526,9.405344717,0,0,0,1,57,57,0,0,0,0,0,0,1,3249,0,0,1,0,0,1,0,0,0,5330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,12500,25,11,NA,5,1,1,0,0,0,0,0,25,0,20,no pay,135,1,NA,1,0.55,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3886,1,0,NA,4500,8.38369347,NA,NA,NA,NA,21,21,0,0,1,0,1,0,1,441,0,0,1,0,0,0,0,0,1,2910,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,4500,10,15,2,4,1,1,0,NA,NA,0,0,10,0,33,no pay,0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,10,0,0,0,0,0,0,0,1,11,1,0,10.0576699,23334.07233,10.0576699,0,0,1,0,30,30,0,0,0,0,1,0,1,900,1,0,0,0,0,0,0,0,1,4230,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,24000,40,33,2,1,1,1,0,3,0,0,0,40,0,51,no pay,10,1,NA,1,0.55,1,10,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,5,0,253.8461538,0,0,253.8461538,0,0,1,253.8461538,0,0,0,0,0
308,0,0,0,0,0,113,0,0.375,0,0,0,0,0,1,8141,0,1,11.34322269,84391.5616,10.34535198,0,0,0,1,55,55,0,0,1,0,0,0,1,3025,0,1,0,0,0,1,0,0,0,5700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,32000,35,8,NA,1,3,1,0,0,0,0,0,35,1,51,"some pay, some weeks",113,1,69,1,0.55,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5215.384615,5215.384615,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,23,1,1,0,0,0,0,0,1,3,1,1,11.34322269,84391.5616,10.79163908,NA,NA,NA,NA,50,50,0,0,1,0,0,1,0,2500,0,1,0,0,0,1,0,0,0,4220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,50000,40,9,NA,1,2,1,0,0,0,0,0,40,0,51,"all pay, all weeks",23,1,NA,1,0.55,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423.076923,4423.076923,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,1,1,0,0,0,0,0,0,72,1,1,11.34322269,84391.5616,8.314700598,NA,NA,NA,NA,23,23,0,0,1,0,1,1,0,529,0,0,1,0,0,1,0,0,0,4020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,4200,12,9,NA,1,1,1,0,0,0,0,0,12,0,51,"all pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
